,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,688316,青云科技,,,,,,-4190.22,,,03-15
1,688070,纵横股份,,,,,,-314.02,-326.22,,09-28
2,688617,惠泰医疗,,,,,,801.96,-58.18,,09-28
3,688619,罗普特,,,,,,-978.19,-17.88,,09-22
4,688616,西力科技,,,,,,463.92,100.78,,09-18
5,688560,明冠新材,,,,,,2495.15,-14.89,,09-17
6,688083,中望软件,,,,,,630.81,-49.93,,09-16
7,688689,银河微电,,,,,,805.65,95.16,,09-16
8,605336,帅丰电器,0.14,,6.9,2.09,-0.84,1504.06,,,09-15
9,3008,开普检测,0.21,-76.92,,,,1256.49,-76.85,,09-10
10,688686,奥普特,,,,,,1776.13,-56.14,,09-09
11,300893,松原股份,0.18,12.5,,3.89,,1381.2,12.6,,09-07
12,300945,曼卡龙,,,,,,,,,09-04
13,688677,海泰新光,,,,,,3068.37,,,08-31
14,600145,*ST新亿,0.0,-128.57,,0.35,,217.43,-3069.46,,08-29
15,688665,四方光电,,,,,,40.43,-87.91,,08-28
16,688618,三旺通信,,,,,,736.15,-37.5,,08-26
17,605358,立昂微,0.09,,4.3,2.13,0.07,3247.68,,,08-25
18,688607,康众医疗,,,,,,239.79,-160.32,,08-21
19,688608,恒玄科技,,,,,,-171.42,-83.22,,08-19
20,688590,新致软件,,,,,,-183.3,-145.31,,08-12
21,688557,兰剑智能,,,,,,15.88,-104.32,,08-12
22,688529,豪森股份,,,,,,1817.42,-176.2,,08-11
23,300895,铜牛信息,,,,,,848.96,,,08-06
24,688687,凯因科技,,,,,,1638.22,106.58,,07-31
25,603931,格林达,0.37,27.59,,5.23,,2810.0,25.67,,07-30
26,688676,金盘科技,,,,,,3401.07,14.02,,07-29
27,605003,众望布艺,0.43,65.38,,7.89,,2806.87,63.48,,07-28
28,300885,海昌新材,,,,,,998.98,-2.76,,07-23
29,300901,中胤时尚,,,,,,1968.27,-5.08,,07-23
30,2993,奥海科技,0.35,84.21,,5.92,,4773.68,87.95,,07-23
31,605366,宏柏新材,0.12,0.0,,3.56,,2934.86,-4.12,,07-23
32,605066,天正电气,0.09,-25.0,,3.4,,2858.71,-25.73,,07-21
33,2995,天地在线,,,,,,734.5,-3.68,,07-20
34,605100,华丰股份,0.66,-8.33,,5.51,,4574.72,-2.39,,07-20
35,300859,西域旅游,-0.17,54.55,,-4.89,,-1984.33,55.02,,07-20
